Config,None::Sim Time,None::simSeconds,None::simTicks,None::simFreq,None::CPU Performance,None::system.cpu.numCycles,None::system.cpu.cpi,None::system.cpu.ipc,None::system.cpu.commitStats0.numInsts,None::system.cpu.commitStats0.cpi,None::system.cpu.commitStats0.numMemRefs,None::system.cpu.commitStats0.numLoadInsts,None::system.cpu.commitStats0.numStoreInsts,None::system.cpu.fetchStats0.fetchRate,None::system.cpu.executeStats0.instRate,None::Memory Access Timing,None::system.mem_ctrl.dram.numReads,None::system.mem_ctrl.dram.numWrites,None::system.mem_ctrl.dram.totQLat,None::system.mem_ctrl.dram.totBusLat,None::system.mem_ctrl.dram.totMemAccLat,None::system.mem_ctrl.dram.avgQLat,None::system.mem_ctrl.dram.avgBusLat,None::system.mem_ctrl.dram.avgMemAccLat,None::Row Buffer Hits,None::system.mem_ctrl.dram.readRowHits,None::system.mem_ctrl.dram.writeRowHits,None::system.mem_ctrl.dram.readRowHitRate,None::system.mem_ctrl.dram.writeRowHitRate,None::Total + Component Energy Usage,None::system.mem_ctrl.dram.rank0.totalEnergy,None::system.mem_ctrl.dram.rank1.totalEnergy,None::system.mem_ctrl.dram.rank0.actEnergy,None::system.mem_ctrl.dram.rank0.preEnergy,None::system.mem_ctrl.dram.rank0.readEnergy,None::system.mem_ctrl.dram.rank0.writeEnergy,None::system.mem_ctrl.dram.rank1.actEnergy,None::system.mem_ctrl.dram.rank1.preEnergy,None::system.mem_ctrl.dram.rank1.readEnergy,None::system.mem_ctrl.dram.rank1.writeEnergy,None::Power Metrics,None::system.mem_ctrl.dram.rank0.averagePower,None::system.mem_ctrl.dram.rank1.averagePower,None::Energy Breakdown,None::system.mem_ctrl.dram.rank0.actBackEnergy,None::system.mem_ctrl.dram.rank0.preBackEnergy,None::system.mem_ctrl.dram.rank0.actPowerDownEnergy,None::system.mem_ctrl.dram.rank0.prePowerDownEnergy,None::system.mem_ctrl.dram.rank0.pwrStateTime,None::system.mem_ctrl.dram.rank1.actBackEnergy,None::system.mem_ctrl.dram.rank1.preBackEnergy,None::system.mem_ctrl.dram.rank1.actPowerDownEnergy,None::system.mem_ctrl.dram.rank1.prePowerDownEnergy,None::system.mem_ctrl.dram.rank1.pwrStateTime,None::Bus/Memory Throughput,None::system.mem_ctrl.dram.bwTotal,None::system.mem_ctrl.dram.avgRdBW,None::system.mem_ctrl.dram.avgWrBW,None::system.mem_ctrl.dram.peakBW,None::system.mem_ctrl.dram.busUtil
L1_64kB_L2_128kB_assoc_4_NN_64_sigmoid_stats,,0.145263,145262800000.0,1000000000000.0,,145262800.0,5.522908,0.181064,26301867.0,5.522908,0.0,11240248.0,2412994.0,0.181064,0.0,,:total: 384451,:total: 40409,2872318250.0,1903880000.0,10011868250.0,7543.33,5000.0,26293.33,,333736.0,34362.0,87.65,85.18,,75009242865.0,74751904380.0,195671700.0,103994385.0,1351737660.0,103262040.0,182876820.0,97189950.0,1367002980.0,107312760.0,,516.369248,514.597711,,38043940920.0,23743912320.0,0.0,0.0,:IDLE: 61371662750,36415924590.0,25114873440.0,0.0,0.0,:IDLE: 64952540250,,:total: 187185157,167.762593,17.773029,12800.0,1.45
L1_32kB_L2_64kB_assoc_2_NN_64_tanh_activation_stats,,0.143311,143311070000.0,1000000000000.0,,143311070.0,5.45282,0.183391,26282011.0,5.45282,0.0,11234507.0,2412695.0,0.183391,0.0,,:total: 384853,:total: 40481,2370488000.0,1904870000.0,9513750500.0,6222.18,5000.0,24972.18,,335687.0,35146.0,88.11,86.97,,74198813850.0,73989069180.0,187503540.0,99641520.0,1355050620.0,103324680.0,173437740.0,92172960.0,1365103740.0,107620740.0,,517.746562,516.283,,38692824930.0,22448019360.0,0.0,0.0,:IDLE: 58002679000,37409948160.0,23528336640.0,0.0,0.0,:IDLE: 60822221750,,:total: 189946080,170.135747,18.046785,12800.0,1.47
L1_32kB_L2_64kB_assoc_2_NN_64_sigmoid_stats,,0.145331,145330753000.0,1000000000000.0,,145330753.0,5.525492,0.180979,26301867.0,5.525492,0.0,11240248.0,2412994.0,0.180979,0.0,,:total: 385102,:total: 40457,2871666000.0,1908010000.0,10026703500.0,7525.29,5000.0,26275.29,,335397.0,34873.0,87.89,86.36,,75280543575.0,75003414300.0,190809360.0,101413785.0,1356550020.0,103309020.0,178414320.0,94829460.0,1368088260.0,107474580.0,,517.994588,516.087702,,39578243550.0,22477962240.0,0.0,0.0,:IDLE: 58072326500,37843836720.0,23938515360.0,0.0,0.0,:IDLE: 61887988000,,:total: 187405456,168.047901,17.782334,12800.0,1.45
L1_16kB_L2_32kB_assoc_2_NN_128_relu_stats,,0.280516,280516482000.0,1000000000000.0,,280516482.0,5.447597,0.183567,51493623.0,5.447597,0.0,22145982.0,4655186.0,0.183567,0.0,,:total: 757678,:total: 78949,4405991750.0,3763270000.0,18518254250.0,5853.94,5000.0,24603.94,,632417.0,69324.0,84.02,87.85,,145336935630.0,145341132150.0,466242000.0,247805910.0,2659321560.0,201873060.0,460701360.0,244860990.0,2714628000.0,210042360.0,,518.104799,518.119759,,75364947420.0,44253110400.0,0.0,0.0,:IDLE: 114380709000,75043254240.0,44524009920.0,0.0,0.0,:IDLE: 115099917000,,:total: 190876941,171.718452,18.003591,12800.0,1.48
L1_16kB_L2_32kB_assoc_8_NN_256_tanh_activation_stats,,0.5565,556500358000.0,1000000000000.0,,556500358.0,5.457908,0.18322,101962213.0,5.457908,0.0,43983246.0,9143558.0,0.18322,0.0,,:total: 1501251,:total: 155743,12405313250.0,7496940000.0,40518838250.0,8273.58,5000.0,27023.58,,1120889.0,137264.0,74.76,88.18,,291461214360.0,290386083450.0,1443072540.0,767007450.0,5456537940.0,418670100.0,1390836300.0,739235640.0,5249092380.0,393932520.0,,523.739491,521.807541,,163084843770.0,76361532480.0,0.0,0.0,:IDLE: 197104121500,158252892210.0,80430544320.0,0.0,0.0,:IDLE: 207717739500,,:total: 190561631,172.436245,17.902853,12800.0,1.49
L1_64kB_L2_128kB_assoc_4_NN_128_relu_stats,,0.280321,280320970000.0,1000000000000.0,,280320970.0,5.4438,0.183695,51493623.0,5.4438,0.0,22145982.0,4655186.0,0.183695,0.0,,:total: 756097,:total: 78826,4561601250.0,3739735000.0,18585607500.0,6098.83,5000.0,24848.83,,625946.0,67799.0,83.69,86.05,,144985885020.0,144950366625.0,479443860.0,254826660.0,2648483040.0,201528540.0,470147580.0,249889365.0,2691858540.0,209776140.0,,517.213839,517.087133,,73657180680.0,45616152960.0,0.0,0.0,:IDLE: 117907998000,73195430520.0,46004995200.0,0.0,0.0,:IDLE: 118932036250,,:total: 190621030,170.763564,17.989435,12800.0,1.47
L1_32kB_L2_64kB_assoc_8_NN_128_tanh_activation_stats,,0.282103,282103083000.0,1000000000000.0,,282103083.0,5.476724,0.182591,51509456.0,5.476724,0.0,22151140.0,4656687.0,0.182591,0.0,,:total: 756765,:total: 78905,5042794500.0,3744590000.0,19085007000.0,6733.44,5000.0,25483.44,,629876.0,69029.0,84.1,87.56,,146287756845.0,146416473975.0,461493900.0,245267055.0,2645141520.0,201074400.0,458473680.0,243665565.0,2702133000.0,210439080.0,,518.561355,519.017631,,76878994530.0,43587378240.0,0.0,0.0,:IDLE: 112628397750,77303218170.0,43230137280.0,0.0,0.0,:IDLE: 111704028000,,:total: 189586301,169.905098,17.884867,12800.0,1.47
L1_16kB_L2_32kB_assoc_4_NN_128_relu_stats,,0.280417,280416527000.0,1000000000000.0,,280416527.0,5.445655,0.183633,51493623.0,5.445655,0.0,22145982.0,4655186.0,0.183633,0.0,,:total: 757361,:total: 78947,4429403000.0,3765140000.0,18548678000.0,5882.12,5000.0,24632.12,,632814.0,69650.0,84.04,88.26,,145272364125.0,145265214105.0,465699360.0,247513695.0,2660413980.0,201836520.0,458766420.0,243832545.0,2716205940.0,210089340.0,,518.059209,518.033711,,75248290650.0,44312964960.0,0.0,0.0,:IDLE: 114537179750,74864612820.0,44636062080.0,0.0,0.0,:IDLE: 115391956750,,:total: 190872174,171.86502,18.010465,12800.0,1.48
L1_64kB_L2_128kB_assoc_2_NN_128_sigmoid_stats,,0.274503,274502648000.0,1000000000000.0,,274502648.0,5.324894,0.187797,51550818.0,5.324894,0.0,22163025.0,4657370.0,0.187797,0.0,,:total: 757181,:total: 78835,5036053000.0,3740465000.0,19062796750.0,6731.85,5000.0,25481.85,,625542.0,67510.0,83.62,85.71,,142057152825.0,142070607585.0,479201100.0,254686245.0,2624971020.0,201413700.0,476188020.0,253092345.0,2716413000.0,209750040.0,,517.507404,517.556419,,72322518840.0,44505843360.0,0.0,0.0,:IDLE: 115028978500,71804980500.0,44941665120.0,0.0,0.0,:IDLE: 116178392000,,:total: 194916240,174.417086,18.364442,12800.0,1.51
L1_64kB_L2_128kB_assoc_2_NN_128_relu_stats,,0.28036,280360262000.0,1000000000000.0,,280360262.0,5.444563,0.183669,51493623.0,5.444563,0.0,22145982.0,4655186.0,0.183669,0.0,,:total: 756289,:total: 78828,4595399750.0,3737720000.0,18611849750.0,6147.33,5000.0,24897.33,,625363.0,67603.0,83.66,85.8,,144953100825.0,144989434365.0,477908760.0,254010735.0,2625156660.0,201523320.0,474360180.0,252120825.0,2712307500.0,209776140.0,,517.024416,517.154012,,73497181110.0,45765977760.0,0.0,0.0,:IDLE: 118297842000,73157514120.0,46052013120.0,0.0,0.0,:IDLE: 119056269000,,:total: 190638601,170.647636,17.986686,12800.0,1.47
